Triwulan,USDTW,CA,IDR
Sep-18,114.0783,"-8,380.29","14,929.00"
Dec-18,116.2111,"-9,531.19","14,481.00"
Mar-19,114.7823,"-6,550.29","14,244.00"
Jun-19,115.4279,"-8,199.41","14,141.00"
Sep-19,117.3256,"-7,480.92","14,174.00"
Dec-19,115.9107,"-8,048.44","13,901.01"
Mar-20,121.0285,"-3,366.71","16,367.01"
Jun-20,119.6845,"-2,913.21","14,302.00"
Sep-20,116.3534,996.59,"14,918.00"
Dec-20,111.9051,850.06,"14,105.01"
Mar-21,113.3497,"-1,139.67","14,572.00"
Jun-21,111.5888,"-1,881.47","14,496.00"
Sep-21,113.4532,"5,020.45","14,307.01"
Dec-21,115.8172,"1,511.41","14,269.01"
Mar-22,116.2984,724.05,"14,349.01"
Jun-22,120.0269,"4,282.99","14,848.00"
Sep-22,125.5999,"4,709.35","15,247.00"
Dec-22,122.2476,"3,498.75","15,731.00"
Mar-23,120.8071,"2,775.03","15,062.00"
Jun-23,119.5789,"-2,363.76","15,026.00"
Sep-23,121.9827,"-1,170.89","15,526.00"
Dec-23,120.1585,"-1,119.97","15,416.00"
Mar-24,121.0413,"-2,160.81","15,853.00"
